body_type,car_model
hardtop,TOYOTA CROWN COMFORT
hardtop,TOYOTA CROWN MAJESTA
hardtop,TOYOTA MARK II
hardtop,TOYOTA SPRINTER MARINO
hardtop,TOYOTA VISTA
hardtop,TOYOTA WINDOM
coupe,TOYOTA 86
coupe,TOYOTA CELICA
coupe,TOYOTA COROLLA LEVIN
coupe,TOYOTA CURREN
coupe,TOYOTA CYNOS
coupe,TOYOTA GR86
coupe,TOYOTA MR2
coupe,TOYOTA SCEPTER COUPE
coupe,TOYOTA SERA
coupe,TOYOTA SOARER
coupe,TOYOTA SPRINTER TRUENO
coupe,TOYOTA SUPRA
pickup,TOYOTA HILUX
pickup,TOYOTA HILUX PICK UP
pickup,TOYOTA HILUX SPORTS PICK UP
light_rv,TOYOTA PIXIS JOY
light_rv,TOYOTA PIXIS MEGA
light_rv,TOYOTA PIXIS SPACE
light_rv,TOYOTA PIXIS EPOCH
light_rv,TOYOTA PIXIS TRUCK
light_rv,TOYOTA PIXIS VAN
cabriolet,TOYOTA COPEN
cabriolet,TOYOTA MRS
